group,color,
NB,#228B22,
AB,#006400,
BC,#006400,
MB,#808000,
NS,#8FBC8F,
QC,#66CDAA,
ON,#20B2AA,
SK,#00FFFF,
NL,#E0FFFF,
NT,#40E0D0,
YT,#4682B4,
PE,#B0C4DE,
NU,#B0E0E6,
FLOOD,#FFA07A,
LANDSLIDE,#DB7093,
SEVERE THUNDERSTORMS,#DC143C,
WINTER STORM,#FF6347,
AVALANCHE,#FF8C00,
WILDFIRE,#C71585,
TORNADO,#FFC0CB,
STORM - OTHER,#E9967A,
EARTHQUAKE,#0000CD,
HURRICANE,#191970,
DROUGHT,#4682B4,
EPIDEMIC,#FF00FF,
INFESTATION,#8B008B,
STORM SURGE,#8B0000,
TSUNAMI,#BA55D3,
HEAT EVENT,#4B0082,
